"Title","itemcode","categorycode","pillarcode","guidecode","statement","defaultrequired","defaultcritical","sortorder"
"Acts as a strategic partner to the client, proactively...","c12b","NUCLEAR-COMP-CLIENT-FOCUS","NUCLEAR-COMP","NUCLEAR","Acts as a strategic partner to the client, proactively identifying ways to add value while protecting the company’s interests.","Yes","No","2"
"Manages and resolves client concerns constructively,...","c12c","NUCLEAR-COMP-CLIENT-FOCUS","NUCLEAR-COMP","NUCLEAR","Manages and resolves client concerns constructively, maintaining professionalism and credibility even during high-tension discussions.","Yes","No","3"
"Adapts service delivery to meet diverse client needs,...","c12d","NUCLEAR-COMP-CLIENT-FOCUS","NUCLEAR-COMP","NUCLEAR","Adapts service delivery to meet diverse client needs, including government, Indigenous, and private sector stakeholders, while ensuring contractual compliance.","Yes","No","4"
"Demonstrates consistent responsiveness and...","c12e","NUCLEAR-COMP-CLIENT-FOCUS","NUCLEAR-COMP","NUCLEAR","Demonstrates consistent responsiveness and follow-through on client commitments, driving client satisfaction and repeat business.","Yes","No","5"
"Demonstrates a strong focus on client needs and...","c12f","NUCLEAR-COMP-CLIENT-FOCUS","NUCLEAR-COMP","NUCLEAR","Demonstrates a strong focus on client needs and satisfaction.","Yes","No","6"
"Balances short-term problem resolution with long-term...","c13a","NUCLEAR-COMP-RESOURCEFUL-AND-ADAPTABLE","NUCLEAR-COMP","NUCLEAR","Balances short-term problem resolution with long-term strategic objectives, making thoughtful adjustments as conditions evolve.","Yes","No","1"
"Demonstrates agility in adjusting strategies and...","c13b","NUCLEAR-COMP-RESOURCEFUL-AND-ADAPTABLE","NUCLEAR-COMP","NUCLEAR","Demonstrates agility in adjusting strategies and workflows in response to changing project conditions, regulatory shifts, or stakeholder demands.","Yes","No","2"
"Applies resourcefulness to mobilize limited resources...","c13c","NUCLEAR-COMP-RESOURCEFUL-AND-ADAPTABLE","NUCLEAR-COMP","NUCLEAR","Applies resourcefulness to mobilize limited resources (time, budget, people) efficiently while still meeting project goals.","Yes","No","3"
"Stays calm and solution-oriented under pressure,...","c13d","NUCLEAR-COMP-RESOURCEFUL-AND-ADAPTABLE","NUCLEAR-COMP","NUCLEAR","Stays calm and solution-oriented under pressure, modeling resilience to the team during unforeseen events or disruptions.","Yes","No","4"
"Identifies alternative pathways and leverages creative...","c13e","NUCLEAR-COMP-RESOURCEFUL-AND-ADAPTABLE","NUCLEAR-COMP","NUCLEAR","Identifies alternative pathways and leverages creative problem-solving when standard approaches are ineffective.","Yes","No","5"
"Understands and navigates the governance, reporting, and...","c14a","NUCLEAR-COMP-JOINT-VENTURE-CONSORTIUN-ALLIANC","NUCLEAR-COMP","NUCLEAR","Understands and navigates the governance, reporting, and operational frameworks specific to structures.","Yes","No","1"
"Builds productive relationships with partners,...","c14b","NUCLEAR-COMP-JOINT-VENTURE-CONSORTIUN-ALLIANC","NUCLEAR-COMP","NUCLEAR","Builds productive relationships with partners, maintaining alignment on risk-sharing, roles, and shared objectives.","Yes","No","2"
"Manages tension between competing partner interests...","c14c","NUCLEAR-COMP-JOINT-VENTURE-CONSORTIUN-ALLIANC","NUCLEAR-COMP","NUCLEAR","Manages tension between competing partner interests without compromising delivery outcomes or project cohesion.","Yes","No","3"
"Communicates specific issues clearly to internal...","c14d","NUCLEAR-COMP-JOINT-VENTURE-CONSORTIUN-ALLIANC","NUCLEAR-COMP","NUCLEAR","Communicates specific issues clearly to internal stakeholders, ensuring full transparency and buy-in on decisions.","Yes","No","4"
"Champions a collaborative culture across entities,...","c14e","NUCLEAR-COMP-JOINT-VENTURE-CONSORTIUN-ALLIANC","NUCLEAR-COMP","NUCLEAR","Champions a collaborative culture across entities, ensuring alignment on safety, quality, and performance standards.","Yes","No","5"
"Able to lead a collaboration project with a stable team...","c14f","NUCLEAR-COMP-JOINT-VENTURE-CONSORTIUN-ALLIANC","NUCLEAR-COMP","NUCLEAR","Able to lead a collaboration project with a stable team that follows from one project to another.","Yes","No","6"
"Naturally inclined to work cooperatively, valuing input...","b1a","NUCLEAR-BEH-COLLABORATIVE","NUCLEAR-BEH","NUCLEAR","Naturally inclined to work cooperatively, valuing input from diverse perspectives to reach common goals.","Yes","No","1"
"Seeks out partnerships and fosters mutual respect, even...","b1b","NUCLEAR-BEH-COLLABORATIVE","NUCLEAR-BEH","NUCLEAR","Seeks out partnerships and fosters mutual respect, even in high-pressure environments.","Yes","No","2"
"Builds inclusive relationships rooted in trust,...","b1c","NUCLEAR-BEH-COLLABORATIVE","NUCLEAR-BEH","NUCLEAR","Builds inclusive relationships rooted in trust, transparency, and shared success.","Yes","No","3"
"Demonstrates a genuine belief in “team over self” and...","b1d","NUCLEAR-BEH-COLLABORATIVE","NUCLEAR-BEH","NUCLEAR","Demonstrates a genuine belief in “team over self” and finds energy in collective achievements.","Yes","No","4"
"Encourages shared ownership across roles and stakeholder...","b1e","NUCLEAR-BEH-COLLABORATIVE","NUCLEAR-BEH","NUCLEAR","Encourages shared ownership across roles and stakeholder groups.","Yes","No","5"
"Displays an instinctive openness, preferring clarity...","b2a","NUCLEAR-BEH-TRANSPARENT","NUCLEAR-BEH","NUCLEAR","Displays an instinctive openness, preferring clarity over ambiguity in interactions.","Yes","No","1"
"Values honesty and directness, even when the message is...","b2b","NUCLEAR-BEH-TRANSPARENT","NUCLEAR-BEH","NUCLEAR","Values honesty and directness, even when the message is difficult to deliver.","Yes","No","2"
"Has a strong inner drive to share the full picture with...","b2c","NUCLEAR-BEH-TRANSPARENT","NUCLEAR-BEH","NUCLEAR","Has a strong inner drive to share the full picture with others—believing trust is built through openness.","Yes","No","3"
"Consistently communicates with integrity, showing no...","b2d","NUCLEAR-BEH-TRANSPARENT","NUCLEAR-BEH","NUCLEAR","Consistently communicates with integrity, showing no tolerance for withholding information or creating confusion.","Yes","No","4"
"Approaches challenges with a “no surprises” mindset and...","b2e","NUCLEAR-BEH-TRANSPARENT","NUCLEAR-BEH","NUCLEAR","Approaches challenges with a “no surprises” mindset and models transparent decision-making.","Yes","No","5"
"Possesses an internal steadiness and ability to...","b3a","NUCLEAR-BEH-RESILIENT-AND-CALM-UNDER-PRESSUR","NUCLEAR-BEH","NUCLEAR","Possesses an internal steadiness and ability to self-regulate under stress or adversity.","Yes","No","1"
"Naturally optimistic and forward-focused, even in...","b3b","NUCLEAR-BEH-RESILIENT-AND-CALM-UNDER-PRESSUR","NUCLEAR-BEH","NUCLEAR","Naturally optimistic and forward-focused, even in prolonged or high-stakes challenges.","Yes","No","2"
"Reacts with grace and control in the face of ambiguity,...","b3c","NUCLEAR-BEH-RESILIENT-AND-CALM-UNDER-PRESSUR","NUCLEAR-BEH","NUCLEAR","Reacts with grace and control in the face of ambiguity, conflict, or change.","Yes","No","3"
"Demonstrates an unshakable presence that calms others...","b3d","NUCLEAR-BEH-RESILIENT-AND-CALM-UNDER-PRESSUR","NUCLEAR-BEH","NUCLEAR","Demonstrates an unshakable presence that calms others and inspires confidence.","Yes","No","4"
"Thrives in demanding environments and models emotional...","b3e","NUCLEAR-BEH-RESILIENT-AND-CALM-UNDER-PRESSUR","NUCLEAR-BEH","NUCLEAR","Thrives in demanding environments and models emotional endurance for the team.","Yes","No","5"
"Displays a natural comfort with taking ownership for...","b4a","NUCLEAR-BEH-DECISIVE","NUCLEAR-BEH","NUCLEAR","Displays a natural comfort with taking ownership for tough calls without hesitation.","Yes","No","1"
"Trusts their judgment and remains grounded when...","b4b","NUCLEAR-BEH-DECISIVE","NUCLEAR-BEH","NUCLEAR","Trusts their judgment and remains grounded when navigating uncertainty.","Yes","No","2"
"Leans into complexity with a sense of clarity and...","b4c","NUCLEAR-BEH-DECISIVE","NUCLEAR-BEH","NUCLEAR","Leans into complexity with a sense of clarity and conviction.","Yes","No","3"
"Shows a natural preference for action over over-analysis...","b4d","NUCLEAR-BEH-DECISIVE","NUCLEAR-BEH","NUCLEAR","Shows a natural preference for action over over-analysis or indecision.","Yes","No","4"
"Remains steady and self-assured in their choices—even...","b4e","NUCLEAR-BEH-DECISIVE","NUCLEAR-BEH","NUCLEAR","Remains steady and self-assured in their choices—even when facing opposition or risk.","Yes","No","5"
"Once a decision is made, they are able to communicate...","b4f","NUCLEAR-BEH-DECISIVE","NUCLEAR-BEH","NUCLEAR","Once a decision is made, they are able to communicate effectively to ensure alignment and execution.","Yes","No","6"
"Naturally confident and self-assured in voicing ideas,...","b5a","NUCLEAR-BEH-ASSERTIVE","NUCLEAR-BEH","NUCLEAR","Naturally confident and self-assured in voicing ideas, needs, or concerns.","Yes","No","1"
"Not afraid to challenge others respectfully when the...","b5b","NUCLEAR-BEH-ASSERTIVE","NUCLEAR-BEH","NUCLEAR","Not afraid to challenge others respectfully when the situation demands it.","Yes","No","2"
"Comfortable navigating tension and conflict without...","b5c","NUCLEAR-BEH-ASSERTIVE","NUCLEAR-BEH","NUCLEAR","Comfortable navigating tension and conflict without avoiding tough conversations.","Yes","No","3"
"Holds firm to their position when it aligns with core...","b5d","NUCLEAR-BEH-ASSERTIVE","NUCLEAR-BEH","NUCLEAR","Holds firm to their position when it aligns with core values or project priorities.","Yes","No","4"
"Balances directness with diplomacy to maintain...","b5e","NUCLEAR-BEH-ASSERTIVE","NUCLEAR-BEH","NUCLEAR","Balances directness with diplomacy to maintain relationships while getting results.","Yes","No","5"
"Holds team members accountable for their actions and...","b5f","NUCLEAR-BEH-ASSERTIVE","NUCLEAR-BEH","NUCLEAR","Holds team members accountable for their actions and deliverables.","Yes","No","6"
"Reflective and attuned to how their actions, tone, and...","b6a","NUCLEAR-BEH-SELF-AWARE","NUCLEAR-BEH","NUCLEAR","Reflective and attuned to how their actions, tone, and presence affect others.","Yes","No","1"
"Open to feedback and growth, with a grounded sense of...","b6b","NUCLEAR-BEH-SELF-AWARE","NUCLEAR-BEH","NUCLEAR","Open to feedback and growth, with a grounded sense of strengths and limitations.","Yes","No","2"
"Emotionally intelligent and mindful of context when...","b6c","NUCLEAR-BEH-SELF-AWARE","NUCLEAR-BEH","NUCLEAR","Emotionally intelligent and mindful of context when expressing thoughts or making decisions.","Yes","No","3"
"Quick to own mistakes and course-correct without ego or...","b6d","NUCLEAR-BEH-SELF-AWARE","NUCLEAR-BEH","NUCLEAR","Quick to own mistakes and course-correct without ego or deflection.","Yes","No","4"
"Demonstrates humility, showing a genuine interest in...","b6e","NUCLEAR-BEH-SELF-AWARE","NUCLEAR-BEH","NUCLEAR","Demonstrates humility, showing a genuine interest in personal development and bettering the team.","Yes","No","5"
